row	 col	 TR	 RR	 DET	 MEAN_dl	 MAX_dl	 DIV_dl	 ENT_dl	 ENTrel_dl	 LAM_vl	 TT_vl	 MAX_vl	 DIV_vl	 ENT_vl	 ENTrel_vl	 LAM_hl	 TT_hl	 MAX_hl	 DIV_hl	 ENT_hl	 ENTrel_hl	 nozero	 noone	 more2
       1	       1	 4624.00	    0.89	    1.00	   12.09	   36.00	    0.03	    2.99	    0.84	    1.00	   22.67	   36.00	    0.03	    1.10	    0.31	    1.00	   22.67	   36.00	    0.03	    1.10	    0.31	    0.00	    1.00	    1.00
       1	       2	 4900.00	    0.95	    0.94	   34.75	   68.00	    0.01	    4.20	    1.00	    0.97	   68.00	   68.00	    0.01	   -0.00	   -0.00	    0.97	   68.00	   68.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
       1	       3	 2704.00	    0.52	    0.94	    5.86	   20.00	    0.05	    2.29	    0.76	    0.98	   10.20	   20.00	    0.05	    1.61	    0.54	    0.98	   10.20	   20.00	    0.05	    1.61	    0.54	    0.00	    1.00	    1.00
       1	       4	 4356.00	    0.84	    0.97	   11.59	   37.00	    0.03	    2.89	    0.80	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       1	       5	 5041.00	    0.97	    1.00	   18.50	   69.00	    0.01	    2.75	    0.65	    1.00	   35.50	   69.00	    0.01	    0.69	    0.16	    1.00	   35.50	   69.00	    0.01	    0.69	    0.16	    0.00	    1.00	    1.00
       1	       6	 5041.00	    0.97	    1.00	   18.50	   48.00	    0.02	    3.39	    0.88	    1.00	   35.50	   48.00	    0.02	    0.69	    0.18	    1.00	   35.50	   48.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
       1	       7	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    0.00	    1.00
       1	       8																							
       1	       9																							
       2	       1	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
       2	       2	 3249.00	    0.63	    0.99	    7.88	   27.00	    0.04	    2.50	    0.76	    1.00	   14.25	   27.00	    0.04	    1.39	    0.42	    1.00	   14.25	   27.00	    0.04	    1.39	    0.42	    0.00	    1.00	    1.00
       2	       3	   64.00	    0.01	    0.44	    2.33	    3.00	    0.33	    0.64	    0.58	    0.75	    3.00	    3.00	    0.33	   -0.00	   -0.00	    0.75	    3.00	    3.00	    0.33	   -0.00	   -0.00	    0.00	    1.00	    1.00
       2	       4	 4356.00	    0.84	    0.99	    9.01	   35.00	    0.03	    2.66	    0.75	    1.00	   16.50	   35.00	    0.03	    1.39	    0.39	    1.00	   16.50	   35.00	    0.03	    1.39	    0.39	    0.00	    1.00	    1.00
       2	       5	 3249.00	    0.63	    0.95	    6.36	   17.00	    0.06	    2.39	    0.84	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       2	       6	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
       2	       7	 4900.00	    0.95	    1.00	   18.25	   63.00	    0.02	    2.92	    0.70	    1.00	   35.00	   63.00	    0.02	    0.69	    0.17	    1.00	   35.00	   63.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
       2	       8																							
       2	       9																							
       3	       1	 5041.00	    0.97	    1.00	   18.50	   48.00	    0.02	    3.39	    0.88	    1.00	   35.50	   48.00	    0.02	    0.69	    0.18	    1.00	   35.50	   48.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
       3	       2	 3025.00	    0.58	    0.99	    9.92	   28.00	    0.04	    2.68	    0.81	    1.00	   18.33	   28.00	    0.04	    1.10	    0.33	    1.00	   18.33	   28.00	    0.04	    1.10	    0.33	    0.00	    1.00	    1.00
       3	       3	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       3	       4	 4900.00	    0.95	    1.00	   12.42	   42.00	    0.02	    2.93	    0.78	    1.00	   23.33	   42.00	    0.02	    1.10	    0.29	    1.00	   23.33	   42.00	    0.02	    1.10	    0.29	    0.00	    1.00	    1.00
       3	       5	 4900.00	    0.95	    1.00	   12.42	   51.00	    0.02	    2.73	    0.69	    1.00	   23.33	   51.00	    0.02	    1.10	    0.28	    1.00	   23.33	   51.00	    0.02	    1.10	    0.28	    0.00	    1.00	    1.00
